"key","isi","judul","saham","tanggal_berita"
"",") misalnya. Laba bersih TINS meroket 5.713% menjadi Rp 601 miliar dibandingkan periode yang sama di 2021 yang hanya Rp 10 miliar. PT Merdeka Copper Gold Tbk ( ) bahkan mencatatkan untung US$ 69,65 juta, sementara di kuartal I-2021 masih merugi US$ 4,98 juta. ","Kinerja Emiten Logam Makin Terang","mdka","Jumat, 20 Mei 2022 | 06:00 WIB "
""," saham.  Perseroan berencana  atas saham MDKA yang telah dikeluarkan untuk maksimal 0,5% dari seluruh modal ditempatkan dan disetor. Untuk itu, MDKA telah mengalokasikan dana untuk aksi tersebut maksimal sebesar Rp 600 miliar.  Adapun aksi  saham yang akan dilakukan MDKA ini masih menunggu restu dari pemegang saham melalui dari Rapat Umum Pemegang Saham Luar Biasa (RUPSLB) yang akan diselenggarakan pada 10 Juni 2022 mendatang.  Analis Investindo Nusantara Sekuritas Pandhu Dewanto mencermati MDKA masih bergerak dalam tren penguatan. Soal rencana  , dia menilai aksi ini menjadi penanda bahwa posisi kas perseroan cukup kuat.    Ditambah, MDKA tengah menjalin kerja sama dengan dengan Contemporary Amperex Technology Co. Limited (CATL) untuk mengembangkan ekosistem baterai dan akuisisi Sulawesi Cahaya Minera, yang disebut sangat menjanjikan dalam pandangan Pandhu.  ""Secara teknikal ada potensi MDKA bergerak kembali menguat dengan target terdekat di level  Rp 5.800, jika masih berlanjut potensi menuju kisaran Rp 6.400,"" kata Pandhu saat dihubungi Kontan.  Serupa, Analis Binaartha Sekuritas Ivan Rosanova menganalisis secara teknikal, saham MDKA masih berada di fase  . Dia memproyeksikan MDKA punya potensi melanjutkan kenaikan jika mampu menguat di atas Rp 5.600 per saham.         Saham MDKA menutup perdagangan hari ini, Selasa (7/6), dengan melemah 2,83% ke level Rp 5.150 per saham. Berdasarkan data RTI, secara  (ytd) MDKA sudah melesat 34,22%.  ""Tren kenaikan ini sejalan dengan pencapaian kinerja di kuartal pertama tahun ini, di tengah harga komoditas yang masih kokoh dan juga penurunan beban pokok pendapatan perseroan,"" pungkas Ivan.  Cek Berita dan Artikel yang lain di ","Simak Rekomendasi Saham Merdeka Copper Gold (MDKA) Jelang Rencana Buyback","mdka"," Rabu, 08 Juni 2022 / 08:01 WIB "
"","yang dilakukan ini lebih awal dari periode yang dijadwalkan, yakni pada 25 November 2022.  Alasannya, saat ini MDKA telah menyelesaikan  saham sebanyak 8,59 juta saham yang dilakukan  pada bulan Mei 2022.  Sebelumnya, emiten tambang logam ini telah menyetujui pelaksanaan  melalui rapat umum pemegang saham luar biasa (RUPSLB) yang digelar pada 25 Mei 2021.  MDKA dapat melakukan  sebanyak-banyaknya atas 1% saham dari seluruh modal yang ditempatkan dan disetor penuh dengan alokasi dana sebanyak-banyaknya Rp 530 miliar.  ini akan dilangsungkan dalam waktu paling lama 18 bulan sejak RUPS disetujui atau pada tanggal 25 November 2022.    Lebih lanjut, MDKA juga akan mengalihkan hasil  ini dengan merealisasikan program  (LTI).  “Tidak ada dampak atas pengakhiran periode pembelian Kembali terhadap kegiatan operasional, hukum, kondisi keuangan, atau kelangsungan usaha Perseoran,” tulis Sekretaris Perusahaan merdeka Copper Gold, Adi Adriansyah Sjoekri dalam keterbukaan informasi di laman Bursa Efek Indonesia, Rabu (8/6).            Cek Berita dan Artikel yang lain di ","Merdeka Copper Gold (MDKA) Akhiri Periode Buyback Lebih Awal dari Jadwal","mdka"," Rabu, 08 Juni 2022 / 11:22 WIB "
"","Analis Korea Investment Sekuritas Indonesia Edward Tanuwijaya dalam riset 17 Juni menulis, aksi akuisisi MDKA senilai US$ 693 juta bagi aset nikel tersebut, berpotensi menghasilkan keuntungan hingga US$ 2,7 miliar ke depannya. Akuisisi itu juga berpotensi memberikan kontribusi kas dengan initial return 10% per tahun, untuk dua tahun pertama karena smelter Cahaya Smelter Indonesia (CSI) dan Bintang Smelter Indonesia (BSI) sudah beroperasi sejak 2020.    Edward menilai, akuisisi tersebut berada dalam momentum tepat, karena akan membantu MDKA melewati masa-masa transisi. ""Akuisisi ini membantu transisi MDKA dari tambang emas Tujuh Bukit dan tambang tembaga Wetar yang produksinya menurun,"" kata dia. Kini MDKA akan lebih mengembangkan tambang emas Pani, proyek AIM, dan proyek tembaga Tujuh Bukit.  Analis Bahana Sekuritas Timothy Wijaya sepakat, jika akuisisi tersebut membantu prospek MDKA. Sebab, target produksi emas MDKA pada tahun 2022 hanya 100.000-120.000 ons dengan all in sustainable cost (AISC) emas sebesar US$ 1.000 hingga US$ 1.100 per ons.  Target tersebut menurun dari realisasi produksi emas pada tahun lalu 125.000 ons emas dengan AISC sebesar US$ 860 per ons emas.  Timothy meyakini penurunan target produksi tersebut tidak akan banyak memberi pengaruh terhadap kinerja MDKA pada tahun ini. ""Sebenarnya, yang lebih berpengaruh ke kinerja MDKA adalah harga komoditas,"" kata dia, Senin (27/6).    Penurunan harga tembaga dan nikel saat ini, menjadi sentimen negatif bagi MDKA. Jangka panjang, Edward optimistis harga emas terjaga di US$ 1.850 per ons troi dan tembaga US$ 9.000 per ton.  Analis Sucor Sekuritas Andreas Yordan menambahkan, ruang bertumbuh MDKA adalah pada kepemilikan di kawasan industri seluas 3.600 ha di Konawe. Dia juga yakin MDKA menjadi pemain dalam ekosistem baterai.  Pada tahun ini, Andreas memperkirakan pendapatan MDKA US$ 404 juta dan laba bersih US$ 102 juta. Sedangkan Timothy memprediksi  pendapatan MDKA US$ 571 juta dan laba US$ 88 juta.  Ketiga analis rekomendasi beli, dengan target harga dari Andreas di Rp 6.550, Edward di Rp 6.000, dan Timothy di level Rp 5.500 per saham.       ","Pesona Saham Merdeka Copper Gold (MDKA) dari Bisnis Non Emas","mdka","Selasa, 28 Juni 2022 | 04:50 WIB "
"",") yang porsi ekspornya mendominasi hingga di atas 90%-an,"" paparnya pada Kontan.co.id, Minggu (17/7).  Dengan demikian, Desy bilang, maka penurunan harga komoditas logam industri juga akan berpengaruh terhadap margin keuntungan emiten.  Secara prospek, Desy memandang saham-saham emiten logam industri masih cukup baik tahun ini dengan dorongan beberapa katalis. Pertama, harganya yang masih menarik meskipun sudah cenderung turun.    Menurut Desy, kebijakan larangan ekspor bijih mineral serta program hilirisasi tambang mineral, kemudian pengembangan   (EV) atau kendaraan listrik dan ekosistemnya juga menjadi katalis positif untuk emiten komoditas logam industri.  Selain itu, sentimen positif juga datang dari kenaikan permintaan di tengah  sebagai instrumen lindung nilai.  Di lain sisi, fluktuasi harga, penurunan permintaan komoditas dengan tekanan eksternal seperti kenaikan harga migas dan pangan menjadi katalis negatif untuk emiten komoditas logam. Tak hanya itu, potensi resesi juga menjadi pemberat untuk sektor ini.  ""Perlambatan ekonomi China yang berpotensi mengurangi permintaan serta dari sisi fleksibilitas keuangan emiten dalam menghadapi pelemahan nilai tukar upiah juga menjadi tantangan,"" tambah Desy.         Meski begitu, Desy melihat masih ada ruang emiten-emiten di sektor logam industri untuk tumbuh seiring dengan katalis-katalis positif pada tahun ini.  Dari sektor ini, ia menilai saham TINS, MDKT, PT Aneka Tambang Tbk ( ), dan PT Vale Indonesia Tbk ( ). Desy memberikan rekomendasi  untuk TINS dengan TP di Rp 2.800,  ANTM dengan TP di Rp 3.308, MDKA dengan TP di Rp 5.842, dan INCO dengan TP di Rp 8.101.     Cek Berita dan Artikel yang lain di ","Menilik Prospek Saham-saham Emiten Logam Industri di Paruh Kedua 2022","mdka"," Minggu, 17 Juli 2022 / 13:14 WIB "
"",") yang porsi ekspornya mendominasi hingga di atas 90%-an,"" paparnya pada Kontan.co.id, Minggu (17/7).  Dengan demikian, Desy bilang, maka penurunan harga komoditas logam industri juga akan berpengaruh terhadap margin keuntungan emiten.  Secara prospek, Desy memandang saham-saham emiten logam industri masih cukup baik tahun ini dengan dorongan beberapa katalis. Pertama, harganya yang masih menarik meskipun sudah cenderung turun.    Menurut Desy, kebijakan larangan ekspor bijih mineral serta program hilirisasi tambang mineral, kemudian pengembangan   (EV) atau kendaraan listrik dan ekosistemnya juga menjadi katalis positif untuk emiten komoditas logam industri.  Selain itu, sentimen positif juga datang dari kenaikan permintaan di tengah  sebagai instrumen lindung nilai.  Di lain sisi, fluktuasi harga, penurunan permintaan komoditas dengan tekanan eksternal seperti kenaikan harga migas dan pangan menjadi katalis negatif untuk emiten komoditas logam. Tak hanya itu, potensi resesi juga menjadi pemberat untuk sektor ini.  ""Perlambatan ekonomi China yang berpotensi mengurangi permintaan serta dari sisi fleksibilitas keuangan emiten dalam menghadapi pelemahan nilai tukar upiah juga menjadi tantangan,"" tambah Desy.         Meski begitu, Desy melihat masih ada ruang emiten-emiten di sektor logam industri untuk tumbuh seiring dengan katalis-katalis positif pada tahun ini.  Dari sektor ini, ia menilai saham TINS, MDKT, PT Aneka Tambang Tbk ( ), dan PT Vale Indonesia Tbk ( ). Desy memberikan rekomendasi  untuk TINS dengan TP di Rp 2.800,  ANTM dengan TP di Rp 3.308, MDKA dengan TP di Rp 5.842, dan INCO dengan TP di Rp 8.101.     Cek Berita dan Artikel yang lain di ","Intip Rekomendasi Saham Emiten Logam Industri Saat Harga Komoditas Turun","mdka"," Senin, 18 Juli 2022 / 07:10 WIB "
"","  Hasan juga menyebut jika harga emas yang melonjak akan mendorong prospek MDKA. Emas naik ke level tertinggi sejak pertengahan November di tengah permintaan investor baru karena ketegangan geopolitik berlanjut. ""Kita mungkin bisa melihat pola yang sama pada tahun 2020 ketika harga emas menembus US$ 2.000 per troi ons karena selera investor yang tinggi untuk beralih ke aset safe haven selama  krisis,"" jelas dia dalam riset.   Bagi emiten penambang emas seperti MDKA ini tentu menjadi kisah menarik. Sebab lebih dari 50% pendapatan MDKA disumbangkan dari segmen bisnis emas pada tahun 2022. ""Kami menyadari produksi emas MDKA akan mengalami penurunan alami karena pengolahan bijih kadar rendah pada tahun 2022 dan seterusnya,"" ujar Hasan.   Tapi tahun ini, Hasan memperkirakan, MDKA akan mendapat keuntungan dari realisasi harga emas yang lebih tinggi yakni di US$ 1.900 per ons troi. Ini mengakibatkan,   pendapatan MDKA dari emas sebesar US$ 209 juta, naik 6,3% secara yoy.   Meskipun produksi MDKA diperkirakan sedikit lebih rendah sebesar 11,8% pada 110.000 ons troi pada tahun ini. Sementara pada bisnis tembaga MDKA cukup solid karena didukung peningkatan volume. ""Kami mengharapkan pasar tembaga akan tetap ketat pada tahun ini didukung dari harga tembaga tetap yang kuat di sekitar US$ 9.000 per ton di tahun ini,"" terang Hasan.   MDKA mengungkapkan, target produksi tembaga  tahun ini akan berkisar 18.000 - 22.000 ton. ""Tapi kami proyeksi MDKA bisa memproduksi tembaga 22.000 ton dan menghasilkan pendapatan sebesar US$ 198 juta atau berkontribusi hampir 50% terhadap pendapatan MDKA tahun 2022,"" ujar Hasan.   Hasan memberi rekomendasi Buy saham MDKA dengan target harga Rp 4.900 per saham. ""Kami percaya MDKA akan diuntungkan dengan melonjaknya harga emas dan tembaga,"" jelas dia.     Sepanjang tahun 2022, Hasan memperkirakan pendapatan dan laba bersih MDKA masing-masing bisa menjadi US$ 407 juta dan US$ 80 juta. Angka ini jauh lebih baik dari realisasi di 2021 dimana pendapatan MDKA di US$ 381 juta dan laba bersih US$ 33 juta.   Cek Berita dan Artikel yang lain di ","Harga Emas Melejit, Merdeka Copper Gold (MDKA) Jadi Emiten yang Diuntungkan ","mdka"," Jumat, 11 Maret 2022 / 04:55 WIB "
"","","Pilih Jagoan Saham Komoditas Logam","mdka","Jumat, 11 Maret 2022 | 07:58 WIB "
"","Dalam perjanjian ini, Batutua akan mengambil bagian saham baru yang akan diterbitkan oleh Hamparan Logistik dengan kepemilikan saham sebesar 55,67%  dari modal yang ditempatkan dan disetor  Mengutip keterbukaan informasi di laman Bursa Efek Indonesia, Selasa (29/3), nilai perjanjian atau harga total pengambilan bagian saham adalah sebesar Rp 5,36 triliun.    Transaksi ini dilakukan sebagai salah satu langkah strategis Batutua yang diharapkan dapat memberikan nilai tambah dan manfaat ekonomis bagi perusahaan dan juga MDKA di masa yang akan datang. Sebab, Batutua merupakan perusahaan terkendali yang lebih dari 99% sahamnya dimiliki oleh MDKA, baik secara langsung maupun tidak langsung.  “Dengan demikian, apabila seluruh persyaratan dan kondisi dalam transaksi telah terpenuhi, Perseroan diharapkan dapat meningkatkan laba dan kinerja keuangannya di masa yang akan datang, yang mana hal ini akan memberikan dampak positif bagi grup Perseroan,” tulis manajemen MDKA.  Hamparan Logistik baru-baru ini telah menyelesaikan akuisisi kepemilikan di PT J&P Indonesia dan PT Jcorps Industri Mineral dari PT JCorp Cahaya Semesta. Hamparan Logistik memiliki 95,3% saham di PT J&P Indonesia  dan 99,9% saham di PT Jcorps Industri Mineral, yang dalam perjanjian ini secara bersama-sama disebut dengan aset-aset akuisisi.  Aset-Aset Akuisisi terdiri dari berbagai investasi PT J&P Indonesia dan PT Jcorps Industri Mineral. PT J&P Indonesia mengendalikan 51% saham di PT Sulawesi Cahaya Mineral, yang memegang Izin Usaha Pertambangan (IUP) untuk salah satu sumber daya nikel terbesar di dunia yang belum berkembang.         Selain itu, perusahaan  ini juga memiliki saham minoritas di dua pabrik nikel Rotary Klin-Electric Furnace (RKEF) yang beroperasi, yaitu 49% di PT Cahaya Smelter Indonesia dan 28,4%  di PT Bukit Smelter Indonesia.  Sementara itu, PT Jcorps Industri Mineral JIM memegang berbagai saham mayoritas di perusahaan-perusahaan yang memiliki IUP Batugamping dan proyek pembangkit listrik tenaga air. PT Jcorps Industri Mineral juga memegang saham minoritas, yaitu 32% saham dari Indonesia Konawe Industrial Park.     Cek Berita dan Artikel yang lain di ","Akuisisi Saham Hamparan Logistik, Merdeka Copper Gold (MDKA) Rambah Bisnis Nikel ","mdka"," Selasa, 29 Maret 2022 / 09:53 WIB "
"","","Merdeka Copper Gold (MDKA) Bersiap Garap Bisnis Tambang Nikel","mdka","Rabu, 30 Maret 2022 | 06:02 WIB "
"","Obligasi ini telah dibayarkan kepada para pemegang obligasi pada 1 April 2022 oleh PT Kustodian Sentral Efek Indonesia (KSEI) sebagai agen pembayaran yang telah ditunjuk MDKA.    “Sumber pendanaan yang digunakan oleh perseroan untuk melunasi pokok dan membayar bunga keempat obligasi berasal dari kas internal,” tulis Sekretaris Perusahaan MDKA dalam keterbukaan informasi di laman Bursa Efek Indonesia, Senin (4/4).  Dengan dilakukan pelunasan atas pokok dan pembayaran bunga, maka kewajiban MDKA atas obligasi tersebut telah berakhir. Selanjutnya, tidak ada dampak material lain atas pelunasan dan bunga keempat obligasi terhadap kegiatan operasional, hukum, kondisi keuangan, dan kelangsungan usaha Merdeka Copper Gold.            Cek Berita dan Artikel yang lain di ","Merdeka Copper Gold (MDKA) Lunasi Obligasi Berkelanjutan II Tahap I 2021 Seri A","mdka"," Selasa, 05 April 2022 / 07:00 WIB "
"","Transaksi ini merupakan transaksi yang bersifat afiliasi. Sebab, Pani Bersama Jaya merupakan perusahaan terkendali MDKA. Sebanyak 83,35% saham Pani Bersama Jaya digenggam oleh Merdeka Copper Gold. Selain itu, terdapat kesamaan anggota dewan komisaris dan direksi Pani Bersama Jaya dengan direksi MDKA.    Dana pembiayaan berdasarkan perjanjian ini akan dikenakan bunga yang ditambahkan terhadap dana pembiayaan yang terutang sampai seluruh jumlah terutang berdasarkan perjanjuan ini telah dibayarkan kembali secara penuh dengan tingkat LIBOR (3 bulanan) ditambah dengan 5,5% per tahun, yang akan wajib dibayarkan pada lima tahun sejak tanggal perjanjian (waktu jatuh tempo).  “Jangka waktu dana pembiayaan dimulai sejak tanggal penandatanganan perjanjian dan akan berakhir pada tanggal waktu jatuh tempo dan dapat diperpanjang berdasarkan kesepakatan secara tertulis dari MDKA san Pani Bersama Jaya,” tulis manajemen Merdeka Copper Gold dalam keterbukaan informasi di Bursa Efek Indonesia, Rabu (13/4).         Pani Bersama Jaya dapat mencairkan dana pembiayaan dengan meminjam, membayar Kembali, dan meminjam kembali dana pembiayaan dengan jumlah sampai dengan US$ 125 juta baik secara keseluruhan atau sebagian. Ini dengan ketentuan Pani Bersama Jaya harus membayar Kembali secara penuh pinjaman yang terutang paling lambat pada waktu jatuh tempo.  Manajemen MDKA berharap, dengan pembiayaan ini Pani Bersama Jaya dapat menjalankan kegiatan usahanya dengan lebih optimal dan diharapkan dapat memberikan dampak  positif terhadap MDKA.     Cek Berita dan Artikel yang lain di ","Merdeka Copper (MDKA) Kucurkan Pembiayaan Hingga US$ 125 Juta ke Pani Bersama Jaya","mdka"," Rabu, 13 April 2022 / 10:59 WIB "
"","Andalan Bersama Investama akan menggunakan pinjaman ini untuk tujuan termasuk namun tidak terbatas pada korporasi umum. Termasuk untuk kebutuhan pengeluaran modal dan operasional, serta modal kerja Andalan Bersama Investama dan keperluan lainnya sebagaimana dibutuhkan.    Dana pembiayaan berdasarkan perjanjian ini akan dikenakan bunga yang ditambahkan terhadap dana pembiayaan yang terutang sampai seluruh jumlah terutang berdasarkan perjanjuan ini telah dibayarkan kembali secara penuh dengan tingkat LIBOR (3 bulanan) ditambah dengan 5,5% per tahun, yang akan wajib dibayarkan pada lima tahun sejak tanggal perjanjian (waktu jatuh tempo).  “Jangka waktu dana pembiayaan dimulai sejak tanggal penandatanganan perjanjian dan akan berakhir pada tanggal waktu jatuh tempo dan dapat diperpanjang berdasarkan kesepakatan secara tertulis dari MDKA dan Andalan Bersama Investama,” tulis manajemen Merdeka Copper Gold dalam keterbukaan informasi di Bursa Efek Indonesia, Rabu (13/4).  Andalan Bersama Investama dapat mencairkan dana pembiayaan dengan meminjam, membayar kembali, dan meminjam kembali dana pembiayaan dengan jumlah sampai dengan US$ 25 juta baik secara keseluruhan atau sebagian. Ini dengan ketentuan Andalan Bersama Investama harus membayar mkembali secara penuh pinjaman yang terutang paling lambat pada waktu jatuh tempo.           Cek Berita dan Artikel yang lain di ","Merdeka Copper (MDKA) Beri Fasilitas Pembiayaan ke Andalan Bersama Investama","mdka"," Rabu, 13 April 2022 / 14:26 WIB "
"","Harga pelaksanaan rights issue ditentukan sebesar Rp 2.830 per saham. Sehingga, jumlah dana yang akan diterima MDKA dalam aksi korporasi ini adalah sebesar Rp 3,41 triliun.  Perusahaan baterai listrik asal Hong Kong, yakni Hongkong Brunp and Catl Co., Limited (Brunp) bertindak sebagai pembeli siaga. Brunp akan membeli seluruh sisa saham baru dalam jumlah sebanyak-banyaknya 757,09 juta pada harga pelaksanaan.    MDKA akan menggunakan dana hasil rights issue ini untuk empat keperluan. Pertama, sekitar 60% akan digunakan untuk dialokasikan kepada PT Bumi Suksesindo (BSI) untuk mendanai sebagian kebutuhan belanja modal, pembayaran sebagian pokok utang dan modal kerja.  Kedua, sekitar 22% akan digunakan untuk dialokasikan kepada PT Batutua Tembaga Raya (BTR) untuk mendanai sebagian kebutuhan belanja modal dan modal kerja.   Ketiga, sekitar 9% akan digunakan untuk dialokasikan kepada PT Batutua Kharisma Permai (BKP) untuk mendanai sebagian kebutuhan belanja modal dan modal kerja.  Keempat, sekitar 9% akan digunakan untuk dialokasikan kepada PT Puncak Emas Tani Sejahtera (PETS) untuk mendanai sebagian kebutuhan belanja modal.  Selain rights issue, MDKA juga akan menerbitkan surat utang (obligasi). MDKA akan menerbitkan obligasi dengan nilai pokok Rp 2 triliun, yakni obligasi Berkelanjutan III Tahap II Tahun 2022 Merdeka Copper Gold. ini merupakan bagian dari Obligasi Berkelanjutan III Merdeka Copper Gold dengan total nilai Rp 9 triliun. Pada tahap pertama, MDKA telah menerbitkan obligasi Rp 3 triliun.  Analis Pilarmas Investindo Sekuritas Desy Israhyanti menilai, aksi korporasi yang gencar dilakukan MDKA sudah tepat dan pengaruhnya tentu positif terhadap kinerja MDKA.   Ini seiring dengan potensi peningkatan kebutuhan logam terhadap transformasi energi terbarukan yang digencarkan untuk mendukung program net zero emission pada tahun 2060.  Desy melihat, diversifikasi bisnis yang dilakukan MDKA melalui kerjasamanya dengan Brunp yang merupakan supplier baterai kendaraan listrik terbesar di dunia, memberikan peluang besar terhadap profil keuangan, baik dari sisi diversifikasi pendapatan dan perputaran arus kas ( ) ke depannya.    “Terlebih, pemulihan ekonomi dalam negeri sedang berlangsung dan saat ini suku bunga Bank Indonesia (BI) belum naik. Jadi masih ada momentum mendapatkan suku bunga rendah untuk pendanaan di pasar surat utang,” terang Desy kepada Kontan.co.id, Rabu (13/4).  Desy melihat, permintaan emas dan tembaga yang merupakan komoditas utama MDKA akan tetap eksis. Sebagaimana fungsi logam tersebut yang digunakan sebagai bahan baku industri, emas juga digunakan sebagai instrumen investasi.  Terlebih, emas menjadi alternatif investasi yang juga disimpan dalam jangka waktu cukup lama. Sentimen saat ini adalah ketidakpastian pasar yang membawa harga emas naik lebih tinggi. “Namun, akan bergerak turun apabila pasar kembali stabil,” sambung dia.   Cek Berita dan Artikel yang lain di ","Merdeka Copper Gold (MDKA) Gencar Cari Pendanaan di Pasar Modal","mdka"," Rabu, 13 April 2022 / 14:59 WIB "
"","Hamparan Logistik baru-baru ini telah menyelesaikan akuisisi kepemilikan di PT J&P Indonesia dan PT Jcorps Industri Mineral dari PT JCorp Cahaya Semesta. Hamparan Logistik memiliki 95,3% saham di PT J&P Indonesia  dan 99,9% saham di PT Jcorps Industri Mineral, yang dalam perjanjian ini secara bersama-sama disebut dengan aset-aset akuisisi.  Aset-aset akuisisi terdiri dari berbagai investasi PT J&P Indonesia dan PT Jcorps Industri Mineral. PT J&P Indonesia mengendalikan 51% saham di PT Sulawesi Cahaya Mineral, yang memegang Izin Usaha Pertambangan (IUP) untuk salah satu sumber daya nikel terbesar di dunia yang belum berkembang.    Analis RHB Sekuritas Indonesia Fauzan Luthfi Djamal menilai, langkah akuisisi ini memberikan gambaran yang lebih jelas terkait strategi bisnis masa depan MDKA. Ini akan menghasilkan kontribusi terhadap laba bersih yang layak di masa mendatang.  Kejelasan pengembangan bisnis di sektor nikel akan menambah diversifikasi dalam portofolio MDKA. Sejalan dengan itu, Fauzan meyakini tren positif pada komoditas akan bertahan untuk sementara waktu. Hal ini akan didorong oleh permintaan yang kuat untuk komoditas logam dasar, didukung oleh tingkat harga yang lebih tinggi di tengah terganggunya pasokan.  Analis BRI Danareksa Sekuritas Hasan Barakwan menilai, dengan potensi akuisisi aset nikel, MDKA akan bertransformasi menjadi penambang logam mineral yang terdiversifikasi, tidak hanya sebatas pada emas dan tembaga.  Dengan memperhitungkan operasional smelter Rotary Klin-Electric Furnace (RKEF) yang sahamnya dipegang minoritas oleh PT J&P Indonesia, Hasan menaikkan target harga MDKA menjadi Rp 6.500 dari sebelumnya Rp 5.525, dengan mempertahankan rekomendasi beli.    “Kami meyakini usaha MDKA masuk ke bisnis nikel tidak akan berhenti dengan akuisisi ini. MDKA akan mengungkapkan rencananya dengan CATL segera setelah rights issue rampung pada bulan ini,” kata Hasan.          Cek Berita dan Artikel yang lain di ","Jadi Emiten Tambang Logam Terdiversifikasi, Simak Rekomendasi Saham MDKA","mdka"," Rabu, 13 April 2022 / 16:36 WIB "
""," saham PALM yang berpotensi membuatnya menjadi pengendali tunggal.  ","Kongsi Boy Thohir, Edwin Soeryadjaya, dan Winato Kartono Makin Mesra","mdka","Minggu, 24 Juli 2022 | 18:12 WIB "
"","Hal tersebut datang dari kesadaran masyarakat yang lebih tinggi terhadap produk farmasi. Meski belum ada data tingkat fatality yang signifikan dari lonjakan kasus Covid belakangan ini, tapi emiten farmasi dianggap memiliki keuntungan dari hal tersebut.  ""Masyarakat sudah mulai terdidik untuk meningkatkan imun tubuh dengan mengkonsumsi vitamin atau suplemen dan obat-obatan terkait,"" kata Liza kepada Kontan.co.id, Kamis (7/7).    Meski begitu, jika sebagai pilihan  , Liza memberikan catatan bahwa mayoritas saham sektor farmasi kurang likuid dan kurang aktif. Oleh sebab itu, mesti cermat dalam memilih saham farmasi.  Rekomendasi Liza,  atau  untuk saham PT Kalbe Farma Tbk ( ) dengan mencermati  pada harga Rp 1.680, Rp 1.650, dan Rp 1.630. Sedangkan area  berada di Rp 1.700 dan Rp 1.720 - Rp 1.730.  Berikutnya, Liza menyarankan  saham PT Kimia Farma Tbk ( ) dengan memperhatikan  pada Rp 1.240. Kemudian  berada di area Rp 1.325 - Rp 1.355 atau di Rp 1.420 - Rp 1.430.         Liza juga merekomendasikan  saham PT Indofarma Tbk ( ) dengan  di level Rp 940. Area  berada di Rp 990 - Rp 1.010 atau Rp 1.100.  Rekomendasi berikutnya, beli bertahap PT Industri Jamu dan Farmasi Sido Muncul Tbk ( ) dengan  awal di Rp 985 - Rp 975.  saham SIDO bisa menunggu  di Rp 990 - Rp 1.000.  Target harga SIDO berada di area Rp 1.060 - Rp 1.070. Saran Liza,  apabila saham SIDO sudah  di bawah Rp 970.     Cek Berita dan Artikel yang lain di ","Simak Rekomendasi Saham Emiten Farmasi Saat Rupiah Terkapar","klbf"," Jumat, 08 Juli 2022 / 09:26 WIB "
"","Sekretaris Perusahaan PT Phapros Tbk ( ) Zahmilia Akbar mengaku bahwa sejauh ini merosotnya kurs rupiah belum terlalu berdampak pada biaya operasional PEHA. Tetapi bila berkepanjangan, imbas dari tren merosotnya nilai tukar rupiah bakal terasa.    ""Dari kami berharap nilai tukar rupiah akan kembali stabil. Kami yakin akan segera stabil,"" kata Zahmilia saat dihubungi Kontan.co.id, Jum'at (8/7).  Zahmilia mengamini, kebutuhan bahan baku impor untuk industri farmasi masih cukup tinggi. Kebanyakan berasal dari negara di Eropa, China, serta India. Guna mengurangi ketergantungan impor bahan baku, PEHA sejak beberapa tahun lalu memaksimalkan penggunaan bahan baku dalam negeri.  ""Untuk bahan baku aktif farmasi kami juga telah menginisiasi dan dalam tahapan trial saat ini sebelum komersialisasi,"" imbuh Zahmilia.  PEHA melakukan perencanaan dan realisasi pembelian bahan baku untuk kebutuhan beberapa bulan ke depan. Upaya lain yang dilakukan seperti long term  dengan vendor di luar negeri sehingga dampak kurs dapat diantisipasi.  Kemudian, PEHA mulai menggunakan mata uang lokal selain dolar AS dalam pembelian bahan yang masih impor agar nilainya lebih stabil. Berbagai strategi tersebut menjadi fokus dari bagian supply chain PEHA untuk mencegah dampak berlebihan pada bisnis.  ""Karena kami wajib menjaga ketersediaan obat bagi masyarakat di Indonesia bagaimanapun konsekuensi kondisinya,"" kata Zahmilia.         Sementara itu, Presiden Direktur PT Kalbe Farma Tbk ( ) Vidjongtius mengungkapkan bahwa ketersediaan bahan baku obat dan susu serta durasi pengiriman logistik yang bertambah panjang menjadi tantangan industri saat ini. Di tengah situasi makro dan mikro yang menyimpan banyak tantangan, KLBF memakai kombinasi empat pilar bisnis.  Empat pilar tersebut memiliki kombinasi segmentasi produk di masing-masing pilar. Meliputi obat resep, obat bebas atau  nutrisi, serta distribusi & logistik.  KLBF juga memiliki kebijakan untuk menyediakan cadangan devisa internal sekitar US$ 50 juta - US$ 60 juta untuk pendanaan bahan baku. Adapun sumber impor bahan baku berasal dari beberapa negara seperti China, India, Jepang, Australia, dan berbagai negara di Eropa.  Vidjongtius menambahkan, sejak akhir tahun lalu KLBF juga sudah menaikkan jumlah persediaan untuk mengamankan suplai, sehingga obat kesehatan selalu tersedia di pasar.  ""Dengan adanya persediaan yang bertambah sejak akhir tahun lalu maka dalam jangka pendek masih bisa ditahan tapi kalau berlarut lama maka biaya produksi bisa meningkat,"" sebut Vidjongtius. ","Ini Strategi Emiten Farmasi Saat Rupiah Masih Betah di Sekitar Rp 15.000 Per Dolar AS","klbf"," Senin, 11 Juli 2022 / 09:28 WIB "
